index,index2,Country,Code,Year,CO2,HDI,relative,perCapita
63,1417,Libya,LBY,2005,56988605,0.48,5515.039194898554,9.828
64,511,China,CHN,2010,8616652695,0.48,1622.344104305829,6.295
65,2482,United States,USA,1955,2728348348,0.49,1273.2082709028225,15.8916
66,2096,Singapore,SGP,1990,43535575,0.49,2174.6667593206025,14.4494
67,107,Australia,AUS,1955,70674171,0.5,11661.464712695708,7.7107
68,1418,Libya,LBY,2007,49977432,0.51,4824.234231393754,8.3647
69,108,Australia,AUS,1960,88118900,0.51,14564.584220896792,8.6036
70,2483,United States,USA,1960,2897138041,0.51,1358.1620132065336,15.5159
71,2154,South Korea,KOR,1990,250469067,0.51,3786.411937925173,5.8359
72,109,Australia,AUS,1965,120852669,0.52,20012.07746431995,10.6825
73,1419,Libya,LBY,2010,60652794,0.53,5876.068647234089,9.7864
74,2097,Singapore,SGP,1995,40545824,0.53,2018.4568730759504,11.4992
75,110,Australia,AUS,1970,147479769,0.54,24443.310156832464,11.5281
76,512,China,CHN,2015,9848419740,0.54,1868.55650057254,7.0003
77,2485,United States,USA,1970,4339471089,0.55,2084.1043850308506,20.7121
78,2484,United States,USA,1965,3399341865,0.55,1610.926820640802,17.0194
79,2098,Singapore,SGP,2000,48394112,0.56,2428.517836579356,12.0118
80,111,Australia,AUS,1975,175716870,0.56,29142.47623548834,12.7578
81,2155,South Korea,KOR,1995,383696012,0.56,5853.632436260404,8.4715
82,2486,United States,USA,1975,4478038483,0.57,2153.8469058705136,20.4401
83,112,Australia,AUS,1980,220537329,0.57,36601.414055011184,15.1173
84,113,Australia,AUS,1985,240998346,0.59,40006.49862871445,15.3858
85,2487,United States,USA,1980,4808295761,0.59,2320.0690915411583,20.9533
86,2488,United States,USA,1985,4652382863,0.62,2241.5963843331606,19.3446
87,114,Australia,AUS,1990,279364842,0.62,46391.3798727234,16.4714
88,2156,South Korea,KOR,2000,440530735,0.63,6735.510380716795,9.298
89,2489,United States,USA,1990,5113454675,0.64,2473.65898960227,20.2818
90,2099,Singapore,SGP,2005,36467792,0.65,1805.3859802751613,8.5491
91,2100,Singapore,SGP,2007,47518416,0.67,2382.764068942888,10.3783
92,2101,Singapore,SGP,2010,56619792,0.69,2858.2969509888544,11.0345
93,2490,United States,USA,1995,5421502465,0.69,2628.7028912988494,20.4459
94,2157,South Korea,KOR,2005,499564402,0.72,7651.508315776374,10.2578
95,2491,United States,USA,2000,6010508353,0.72,2925.156149404607,21.3357
96,2492,United States,USA,2005,6134521473,0.74,2987.5733411863303,20.7954
97,2493,United States,USA,2007,6131004158,0.75,2985.803037165984,20.3953
98,115,Australia,AUS,1995,308022587,0.77,51160.54874720418,17.1189
99,2494,United States,USA,2010,5675786435,0.77,2756.6868604345987,18.3676
100,2158,South Korea,KOR,2007,522906312,0.77,8013.693869324091,10.664
101,2495,United States,USA,2015,5371770557,0.78,2603.6722651900386,16.7408
102,2159,South Korea,KOR,2010,595589920,0.81,9141.491585848797,12.021
103,116,Australia,AUS,2000,351819599,0.81,58449.16641149217,18.5252
104,2102,Singapore,SGP,2015,62130448,0.82,3146.220241889472,11.1103
105,117,Australia,AUS,2005,387601592,0.84,64403.93945042071,19.2086
106,118,Australia,AUS,2007,401925539,0.85,66787.7041950687,19.2159
107,2160,South Korea,KOR,2015,635213614,0.85,9756.314003765552,12.4985
108,119,Australia,AUS,2010,404533220,0.87,67221.66964000426,18.2595
109,120,Australia,AUS,2015,403279411,0.89,67013.01306715305,16.8507
