,Entity,Code,Year,Annual CO2 emissions,HDI,relative
2482,United States,USA,1955,2728348348,0.49,1273.2082709028223
2096,Singapore,SGP,1990,43535575,0.49,2174.6667593206025
107,Australia,AUS,1955,70674171,0.5,11661.464712695708
1418,Libya,LBY,2007,49977432,0.51,4824.234231393754
108,Australia,AUS,1960,88118900,0.51,14564.584220896793
2483,United States,USA,1960,2897138041,0.51,1358.1620132065336
2154,South Korea,KOR,1990,250469067,0.51,3786.4119379251724
109,Australia,AUS,1965,120852669,0.52,20012.07746431995
1419,Libya,LBY,2010,60652794,0.53,5876.068647234089
2097,Singapore,SGP,1995,40545824,0.53,2018.4568730759504
110,Australia,AUS,1970,147479769,0.54,24443.310156832464
512,China,CHN,2015,9848419740,0.54,1868.55650057254
2485,United States,USA,1970,4339471089,0.55,2084.1043850308506
2484,United States,USA,1965,3399341865,0.55,1610.9268206408021
2098,Singapore,SGP,2000,48394112,0.56,2428.517836579356
111,Australia,AUS,1975,175716870,0.56,29142.47623548834
2155,South Korea,KOR,1995,383696012,0.56,5853.632436260404
2486,United States,USA,1975,4478038483,0.57,2153.8469058705136
112,Australia,AUS,1980,220537329,0.57,36601.414055011184
113,Australia,AUS,1985,240998346,0.59,40006.49862871445
2487,United States,USA,1980,4808295761,0.59,2320.0690915411583
2488,United States,USA,1985,4652382863,0.62,2241.5963843331606
114,Australia,AUS,1990,279364842,0.62,46391.3798727234
2156,South Korea,KOR,2000,440530735,0.63,6735.510380716795
2489,United States,USA,1990,5113454675,0.64,2473.65898960227
2099,Singapore,SGP,2005,36467792,0.65,1805.3859802751613
2100,Singapore,SGP,2007,47518416,0.67,2382.764068942888
2101,Singapore,SGP,2010,56619792,0.69,2858.2969509888544
2490,United States,USA,1995,5421502465,0.69,2628.7028912988494
2157,South Korea,KOR,2005,499564402,0.72,7651.508315776374
2491,United States,USA,2000,6010508353,0.72,2925.156149404607
2492,United States,USA,2005,6134521473,0.74,2987.5733411863303
2493,United States,USA,2007,6131004158,0.75,2985.803037165984
115,Australia,AUS,1995,308022587,0.77,51160.54874720418
2494,United States,USA,2010,5675786435,0.77,2756.6868604345987
2158,South Korea,KOR,2007,522906312,0.77,8013.693869324091
2495,United States,USA,2015,5371770557,0.78,2603.6722651900386
2159,South Korea,KOR,2010,595589920,0.81,9141.491585848797
116,Australia,AUS,2000,351819599,0.81,58449.16641149217
2102,Singapore,SGP,2015,62130448,0.82,3146.2202418894717
117,Australia,AUS,2005,387601592,0.84,64403.93945042071
118,Australia,AUS,2007,401925539,0.85,66787.7041950687
2160,South Korea,KOR,2015,635213614,0.85,9756.314003765552
119,Australia,AUS,2010,404533220,0.87,67221.66964000426
120,Australia,AUS,2015,403279411,0.89,67013.01306715305
