index,index2,index3,Country,Code,Year,CO2,HDI,relative,perCapita,pre_HDI,pre_CO2,pre_perCapita
44,44,2478,United States,USA,1929,1963413966,0.38,888.2082320220323,15.5022,0.37,1758097952,14.6923
42,42,2479,United States,USA,1933,1348842461,0.38,578.8875126403461,10.2631,0.38,1963413966,15.5022
45,45,2093,Singapore,SGP,1975,23863632,0.39,1146.8380276833243,10.5604,0.36,17832688,8.6053
46,46,102,Australia,AUS,1925,28234784,0.39,4598.780487804877,4.8678,0.36,22390704,4.8834
47,47,508,China,CHN,2000,3439152210,0.39,587.4367277377962,2.6649,0.35,3357908888,2.706
48,48,104,Australia,AUS,1933,21579653,0.4,3491.2459061135373,3.3017,0.4,23651872,3.7897
49,49,103,Australia,AUS,1929,23651872,0.4,3836.100756204068,3.7897,0.39,28234784,4.8678
50,50,2152,South Korea,KOR,1980,134524426,0.4,1987.3529071313685,3.5359,0.36,81665798,2.3083
51,51,2094,Singapore,SGP,1980,30433184,0.42,1490.087004135988,12.619,0.39,23863632,10.5604
52,52,509,China,CHN,2005,5876555340,0.42,1074.6383197444095,4.4159,0.39,3439152210,2.6649
53,53,1415,Libya,LBY,1995,45689944,0.42,4401.791654186307,9.2325,0.37,36513782,8.23
54,54,105,Australia,AUS,1938,28035472,0.42,4565.611353711791,4.1112,0.4,23651872,3.7897
55,55,2480,United States,USA,1938,1515692978,0.42,662.8652459516982,11.1359,0.38,1348842461,10.2631
56,56,2095,Singapore,SGP,1985,32397088,0.44,1592.6979641909952,11.9744,0.42,30433184,12.619
57,57,1420,Libya,LBY,2015,58183529,0.45,5632.774048996579,9.0652,0.53,60652794,9.7864
58,58,2153,South Korea,KOR,1985,168792126,0.45,2519.0688589668034,4.1366,0.4,134524426,3.5359
59,59,1416,Libya,LBY,2000,47514863,0.46,4581.599384389829,8.8682,0.42,45689944,9.2325
60,60,510,China,CHN,2007,6978611952,0.46,1294.9234786659106,5.1847,0.42,5876555340,4.4159
61,61,106,Australia,AUS,1950,54738653,0.47,9009.505305410588,6.6939,0.42,28035472,4.1112
62,62,2481,United States,USA,1950,2541361422,0.47,1179.0956574888792,16.0031,0.42,1515692978,11.1359
63,63,1417,Libya,LBY,2005,56988605,0.48,5515.039194898554,9.828,0.46,47514863,8.8682
64,64,511,China,CHN,2010,8616652695,0.48,1622.344104305829,6.295,0.46,6978611952,5.1847
65,65,2482,United States,USA,1955,2728348348,0.49,1273.2082709028225,15.8916,0.47,2541361422,16.0031
66,66,2096,Singapore,SGP,1990,43535575,0.49,2174.6667593206025,14.4494,0.44,32397088,11.9744
67,67,107,Australia,AUS,1955,70674171,0.5,11661.464712695708,7.7107,0.47,54738653,6.6939
68,68,1418,Libya,LBY,2007,49977432,0.51,4824.234231393754,8.3647,0.48,56988605,9.828
69,69,108,Australia,AUS,1960,88118900,0.51,14564.584220896792,8.6036,0.5,70674171,7.7107
70,70,2483,United States,USA,1960,2897138041,0.51,1358.1620132065336,15.5159,0.49,2728348348,15.8916
71,71,2154,South Korea,KOR,1990,250469067,0.51,3786.411937925173,5.8359,0.45,168792126,4.1366
72,72,109,Australia,AUS,1965,120852669,0.52,20012.07746431995,10.6825,0.51,88118900,8.6036
73,73,1419,Libya,LBY,2010,60652794,0.53,5876.068647234089,9.7864,0.51,49977432,8.3647
74,74,2097,Singapore,SGP,1995,40545824,0.53,2018.4568730759504,11.4992,0.49,43535575,14.4494
75,75,110,Australia,AUS,1970,147479769,0.54,24443.310156832464,11.5281,0.52,120852669,10.6825
76,76,512,China,CHN,2015,9848419740,0.54,1868.55650057254,7.0003,0.48,8616652695,6.295
78,78,2484,United States,USA,1965,3399341865,0.55,1610.926820640802,17.0194,0.51,2897138041,15.5159
77,77,2485,United States,USA,1970,4339471089,0.55,2084.1043850308506,20.7121,0.55,3399341865,17.0194
79,79,2098,Singapore,SGP,2000,48394112,0.56,2428.517836579356,12.0118,0.53,40545824,11.4992
80,80,111,Australia,AUS,1975,175716870,0.56,29142.47623548834,12.7578,0.54,147479769,11.5281
81,81,2155,South Korea,KOR,1995,383696012,0.56,5853.632436260404,8.4715,0.51,250469067,5.8359
82,82,2486,United States,USA,1975,4478038483,0.57,2153.8469058705136,20.4401,0.55,4339471089,20.7121
83,83,112,Australia,AUS,1980,220537329,0.57,36601.414055011184,15.1173,0.56,175716870,12.7578
